,title,price,year,link,style,age
0,"cables, connectors, and adapters",40,,https://charlottesville.craigslist.org/msg/d/charlottesville-cables-connectors-and/7788424321.html,missing,
1,baglama saz (custom),1800,,https://charlottesville.craigslist.org/msg/d/culpeper-baglama-saz-custom/7788299267.html,missing,
2,martin d-35 (2022),2500,2022.0,https://charlottesville.craigslist.org/msg/d/culpeper-martin/7788281460.html,martin,3.0
3,vox ac15hw1x w/ alnico blue,1300,,https://charlottesville.craigslist.org/msg/d/crozet-vox-ac15hw1x-alnico-blue/7781451791.html,vox,
4,piano tuning & repair,175,,https://charlottesville.craigslist.org/msg/d/charlottesville-piano-tuning-repair/7787801838.html,piano,
5,ukulele case pineapple design,5,,https://charlottesville.craigslist.org/msg/d/palmyra-ukulele-case-pineapple-design/7789431600.html,missing,
6,ukulele case with watermelon design,5,,https://charlottesville.craigslist.org/msg/d/palmyra-ukulele-case-with-watermelon/7789431343.html,missing,
7,music stands / dj stands / laptop stands,40,,https://charlottesville.craigslist.org/msg/d/charlottesville-music-stands-dj-stands/7786401940.html,missing,
8,"levy's, dunlop, and generic adjustable guitar straps",25,,https://charlottesville.craigslist.org/msg/d/charlottesville-levys-dunlop-and/7786402984.html,guitar,
9,sire v5 4 string bass guitar,425,,https://charlottesville.craigslist.org/msg/d/louisa-sire-v5-string-bass-guitar/7789408436.html,sire,
10,vintage emenee music toy,25,,https://charlottesville.craigslist.org/msg/d/bremo-bluff-vintage-emenee-music-toy/7787308273.html,missing,
11,"near mint epiphone pro-1 guitar w pickup, case, tuner",150,,https://charlottesville.craigslist.org/msg/d/crozet-near-mint-epiphone-pro-guitar/7789296842.html,epiphone,
12,yamaha 30w combo amp accutronics reverb,150,,https://charlottesville.craigslist.org/msg/d/glen-allen-yamaha-30w-combo-amp/7789286719.html,yamaha,
13,presonus audiobox usb 96 anniversary ed.,40,,https://charlottesville.craigslist.org/msg/d/orange-presonus-audiobox-usb-96/7787249155.html,missing,
14,cordoba gk studio negra lefty,460,,https://charlottesville.craigslist.org/msg/d/bowling-green-cordoba-gk-studio-negra/7789268689.html,cordoba,
15,tascam us-100 recording unit,30,,https://charlottesville.craigslist.org/msg/d/charlottesville-tascam-us-100-recording/7786712519.html,missing,
16,looking for broken or unwanted musical instruments,1,,https://charlottesville.craigslist.org/msg/d/crozet-looking-for-broken-or-unwanted/7789242617.html,missing,
17,"pa amp for parts or repair, with case, free",1,,https://charlottesville.craigslist.org/msg/d/crozet-pa-amp-for-parts-or-repair-with/7783477517.html,missing,
18,(100) 45 rpm records,30,,https://charlottesville.craigslist.org/msg/d/troy-rpm-records/7783124414.html,missing,
19,vintage music song books,10,,https://charlottesville.craigslist.org/msg/d/troy-vintage-music-song-books/7786493159.html,missing,
20,5 string fender banjo/hardcase,1200,,https://charlottesville.craigslist.org/msg/d/troy-string-fender-banjo-hardcase/7788463093.html,fender,
21,"epiphone ""worn"" casino",375,,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-worn-casino/7782641687.html,epiphone,
22,2003 schecter s-1 blackjack-usa duncans,525,2003.0,https://charlottesville.craigslist.org/msg/d/charlottesville-2003-schecter-1/7789035828.html,schecter,22.0
23,"epiphone ""inspired by"" red  355 guitar",1150,,https://charlottesville.craigslist.org/msg/d/staunton-epiphone-inspired-by-red-355/7786528187.html,epiphone,
